KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 24202-104,Teilezurichter/Teilezurichterin,C7223,Werkzeugmaschineneinrichter und -bediener
B 93522-138,Metallbildner/Metallbildnerin Fachrichtung Goldschlagtechnik,C7313,Schmuckwarenhersteller und Edelmetallbearbeiter
B 93522-152,"Gold-, Silber- und Aluminiumschläger/Gold-, Silber- und Aluminiumschlägerin",C7313,Schmuckwarenhersteller und Edelmetallbearbeiter
B 93342-100,Vergolder/Vergolderin,C7316,"Schildermaler, Dekormaler, Graveure und Ätzer"
B 28122-239,Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Posamentieren,C7318,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien"
B 28122-241,Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Klöppeln,C7318,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien"
B 28122-242,Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Filzen,C7318,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien"
B 22322-106,Holzmechaniker/Holzmechanikerin Fachrichtung Parkettindustrie,C8172,Bediener von Anlagen zur Holzaufbereitung
B 54142-103,Schankanlagenreiniger/Schankanlagenreinigerin,C9129,Sonstiges Reinigungspersonal
B 73231-100,Beamter/Beamtin in der Steuerverwaltung (einfacher Dienst),C9621,"Boten, Paketauslieferer und Gepäckträger"
B 73201-100,Beamter/Beamtin in der Kommunalverwaltung (einfacher Dienst),C9621,"Boten, Paketauslieferer und Gepäckträger"
B 94593-102,Technischer Leiter/Technische Leiterin - Bühne/Film/Fernsehen,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 94514-100,Diplom-Ingenieur/Diplom-Ingenieurin (FH) Fachrichtung Theater- und Veranstaltungstechnik,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 94693-100,Werkstättenvorstand - Bühne/Film/Fernsehen,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 94514-102,Ingenieur/Ingenieurin für Veranstaltungstechnik,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 94693-101,Ausstattungsleiter/Ausstattungsleiterin - Bühne/Film/Fernsehen,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 94593-116,Technischer Direktor/Technische Direktorin,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 94593-133,Geprüfter Meister/Geprüfte Meisterin Medienproduktion Bild und Ton,00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen"
B 24122-100,Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie Fachrichtung Nichteisenmetall-Umformung,000e93a3-d956-4e45-aacb-f12c83fedf84,Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
B 24122-101,Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie Fachrichtung Stahl-Umformung,000e93a3-d956-4e45-aacb-f12c83fedf84,Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
B 25122-114,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin (ohne Angabe des Schwerpunkts),000e93a3-d956-4e45-aacb-f12c83fedf84,Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
B 24202-110,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Metall- und Kunststofftechnik,000e93a3-d956-4e45-aacb-f12c83fedf84,Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
B 24122-254,Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Nichteisenmetallumformung,000e93a3-d956-4e45-aacb-f12c83fedf84,Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
B 24122-255,Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Stahlumformung,000e93a3-d956-4e45-aacb-f12c83fedf84,Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
B 24522-238,Präzisionswerkzeugmechaniker/Präzisionswerkzeugmechanikerin Fachrichtung Schneidwerkzeuge,0019b951-c699-4191-8208-9822882d150c,Präzisionsinstrumentenprüfer/Präzisionsinstrumentenprüferin
B 24522-239,Präzisionswerkzeugmechaniker/Präzisionswerkzeugmechanikerin Fachrichtung Zerspanwerkzeuge,0019b951-c699-4191-8208-9822882d150c,Präzisionsinstrumentenprüfer/Präzisionsinstrumentenprüferin
B 51233-100,Flugsicherungstechniker/Flugsicherungstechnikerin,0022f466-426c-41a4-ac96-a235c945cf97,Flugsicherungstechniker/Flugsicherungstechnikerin
B 63294-109,Betriebswirt/Betriebswirtin (Hochschule) für Hotelmanagement,002da35b-7808-43f3-83bf-63596b8b351f,Ertragsmanager/Ertragsmanagerin
B 63212-114,Revenue-Manager/Revenue-Managerin,002da35b-7808-43f3-83bf-63596b8b351f,Ertragsmanager/Ertragsmanagerin
B 81212-100,Staatlich geprüfter Medizin Laborant/Staatlich geprüfte Medizin Laborantin,0044c991-c26f-4261-a213-4bd1c0564a4c,Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin
B 81212-103,Medizinisch-technischer Laboratoriumsassistent/Medizinisch-technische Laboratoriumsassistentin,0044c991-c26f-4261-a213-4bd1c0564a4c,Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin
B 81212-146,Medizinischer Technologe/Medizinische Technologin für Laboratoriumsanalytik,0044c991-c26f-4261-a213-4bd1c0564a4c,Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin
